(112.0,91.0)
(118.0,80.0)
(116.0,74.0)
(122.0,66.0)
(119.0,59.0)
(126.0,53.0)
(124.0,44.0)
(126.0,42.0)
(131.0,34.0)
(133.0,31.0)
(127.0,25.0)
(129.0,20.0)
(131.0,13.0)
(127.0,5.0)
(118.0,-9.0)
(106.0,-27.0)
(94.0,-62.0)
(89.0,-90.0)
(114.0,-21.0)
(102.0,-52.0)
(101.0,-78.0)
(103.0,-118.0)
(107.0,-67.0)
(115.0,-35.0)
(131.0,1.0)
(141.0,8.0)
(157.0,14.0)
(165.0,10.0)
(169.0,6.0)
(184.0,66.0)
(184.0,148.0)
(169.0,181.0)
(159.0,196.0)
(147.0,214.0)
(132.0,230.0)
(109.0,244.0)
(84.0,257.0)
(60.0,260.0)
(28.0,263.0)
(-8.0,264.0)
(-39.0,264.0)
(-54.0,258.0)
(-75.0,245.0)
(-101.0,226.0)
(-121.0,209.0)
(-141.0,187.0)
(-155.0,167.0)
(-161.0,139.0)
(-162.0,103.0)
(-163.0,71.0)
(-161.0,40.0)
(-145.0,46.0)
